T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
18.9,28.6,10.6,1010.9,61,6.3,0.9,3.5,255.875
19.2,27.6,10.8,1011,66,5.5,0.4,1.9,217.08333333333334
19.3,28,11.2,1012.5,67,4.8,0.7,3.5,229.16666666666666
18.8,27,10.9,1012.5,63,5.5,1.5,5.4,298.4583333333333
18.4,27.5,10.2,1013.1,68,5.5,1.1,3.5,264.9166666666667
18.7,26.6,11,1015.3,69,5.8,1.3,3.5,404.5
22.3,30,16,1013.3,65,6.3,1.1,5.4,188.5
23.6,31.7,16.2,1013.1,70,5.5,1.1,3.5,376.9166666666667
21.6,29.6,12.3,1013.6,53,6.6,1.3,3.5,0.0
19.9,28.6,11.9,1013.2,54,6.6,2.2,5.4,0.0
19.4,28.6,10.9,1011.9,53,6.3,1.1,3.5,57.0
19.3,29.2,9.9,1011.5,50,6.6,0.2,1.9,202.91666666666666
19.1,29,9.9,1011.8,52,6.3,0.2,1.9,205.125
19.7,29.2,11.6,1011.4,53,5.5,1.3,5.4,214.125
19.4,29.6,9.6,1015.1,48,5.5,1.3,5.4,315.7916666666667
19.7,30,9.2,1014.4,49,5.5,1.3,3.5,322.25
20.3,30.6,9.9,1012.7,48,6.9,0.4,3.5,246.04166666666666
21.1,30.7,11,1012.5,48,6.3,1.5,5.4,200.91666666666666
21.6,27.8,14,1013,55,5.5,1.3,5.4,99.5
21.3,30,11.5,1012.2,50,8,2.4,7.6,143.91666666666666
21.7,29.4,10.8,1012.4,42,6.6,5,18.3,100.25
20.9,29.6,11.2,1016.7,50,6.3,3.1,7.6,165.0
22.1,28.8,13.3,1017,62,6.6,3.9,14.8,116.45833333333333
23.2,29.4,15.4,1017.4,59,5.8,2.6,7.6,143.0
23.3,32.6,13.8,1011.1,46,6.3,0.4,1.9,231.125
23.6,32.8,13.3,1011,42,5.8,1.9,5.4,218.66666666666666
23.4,33.2,13.3,1010.7,46,6.3,0.9,3.5,211.0
23.8,32.8,15.8,1012.9,46,6.3,1.9,5.4,52.208333333333336
23.9,33.6,14,1012,40,6.3,2,3.5,187.5
24.5,33.8,14.4,1010.9,39,6.3,1.7,7.6,130.16666666666666
25.5,34.6,15,1009.9,41,6.3,1.9,5.4,123.125
25.8,35.2,15.4,1009.5,42,6.9,0.7,5.4,120.91666666666667
26.3,35,16.4,1008.8,47,6.3,1.1,5.4,153.625
26.8,35,18.1,1009,44,6.3,1.5,5.4,130.33333333333334
26.6,34.4,17.9,1010,47,6.3,1.3,3.5,110.70833333333333
27.6,35,17.3,1010,44,6.6,0.7,3.5,138.5
27.4,36,17.1,1009.9,36,6.3,1.9,3.5,75.75
27.3,34.8,17.7,1009.3,29,6.3,0.7,1.9,146.54166666666666
25.1,31,17.3,1010.3,37,6.3,0.9,3.5,116.625
26.2,34,18.3,1011.2,50,6.3,2,5.4,80.04166666666667
26.8,35.2,15.9,1010.2,34,7.4,4.1,7.6,100.04166666666667
26.5,35,15,1009.9,36,6.9,4.8,11.1,109.45833333333333
27.1,36.2,16.6,1012,32,6.3,2.2,7.6,110.16666666666667
28,37.2,16.5,1011.3,39,6.9,1.7,7.6,108.20833333333333
28.4,37.8,17.6,1009.6,42,6.3,1.3,5.4,103.83333333333333
28,36.7,19.4,1007.8,37,6.9,3,7.6,74.29166666666667
28.4,37.3,17,1007.3,32,7.4,2,3.5,101.79166666666667
29.3,38.6,18.9,1007.9,35,6.6,2.4,7.6,106.16666666666667
29.2,37.4,19.4,1007.6,37,6.9,1.1,3.5,89.875
29.7,36.8,21.4,1007.9,36,6.9,1.5,3.5,48.208333333333336
27.6,36,20.1,1008.8,37,6.9,0.9,3.5,47.041666666666664
28.1,37,18.5,1008.8,30,6.9,1.9,5.4,67.79166666666667
29.2,37.2,19.9,1007.4,34,6.9,0.4,1.9,56.666666666666664
29.6,37.5,18.7,1006.9,30,6.9,3.7,9.4,79.0
29.8,37.6,20.2,1007.5,39,6.9,3.5,7.6,123.58333333333333
31.2,39.2,21.4,1006.2,28,7.4,3.1,7.6,80.29166666666667
29.9,35.8,22.1,1007.5,33,6.9,4.1,7.6,137.875
30.3,37.5,19.3,1007.1,38,6.9,3.5,7.6,87.875
29.4,37.8,17.4,1007,26,6.9,3.3,9.4,121.20833333333333
30.3,38,16.7,1006.3,25,6.6,2.4,7.6,97.04166666666667
30.8,39.2,17.6,1007,32,7.4,2,5.4,92.08333333333333
30.8,40.4,20.1,1006.2,37,6.6,5.9,9.4,130.625
32.6,38,23.6,1006.1,29,6.9,7.8,11.1,90.5
31.1,38.2,19.5,1006.8,30,7.4,2.6,7.6,55.416666666666664
30.7,37.9,24.4,1007.5,41,6.9,3.1,5.4,108.33333333333333
30.2,36.6,22.6,1006.5,35,6.9,5,5.4,198.875
30.8,39,22.6,1006.1,39,6.6,1.9,5.4,120.70833333333333
29.7,38.4,22.6,1006.4,36,7.1,3.7,11.1,60.541666666666664
30.4,36.4,24.6,1006.6,47,6.6,5.7,11.1,79.0
29.8,36.8,22.9,1006.4,51,6.6,3.5,5.4,133.70833333333334
31.1,38.3,24.4,1004.9,40,7.4,4.1,7.6,53.25
30.2,37,21.9,1005.3,44,6.9,5.7,9.4,65.16666666666667
31.1,38,23.4,1005,44,7.4,6.1,9.4,83.58333333333333
29.8,36,25,1004.4,53,6.9,5.9,9.4,40.666666666666664
31.9,38.2,24.3,1002.6,51,6.9,4.6,7.6,48.125
31.4,38.8,25.9,1002.8,57,6.9,5.4,9.4,103.16666666666667
30.5,37.3,24.9,1003.6,58,6.9,7.4,9.4,143.375
27.7,38.6,20.8,1004.7,69,6.3,3.1,7.6,44.791666666666664
27.2,35.4,21.7,1006.3,77,5.5,1.7,7.6,71.95833333333333
28.1,34.2,23.2,1004.7,72,6.9,3,5.4,17.5
26.8,29.4,21.4,1004.1,79,6.3,4.6,7.6,101.0
27.2,32.8,24.2,1001.2,76,6.9,3.9,7.6,76.20833333333333
25.9,28.6,23.6,1001.1,77,7.4,5.6,7.6,84.33333333333333
28.2,32,24.7,1003.3,66,6.3,7.8,9.4,48.833333333333336
28.3,32.8,24.6,1004.5,66,6.3,8,14.8,64.45833333333333
27.9,31.6,24.6,1005.3,63,6.9,8.9,22.2,80.54166666666667
27,30.6,23.2,1003.5,75,6.9,3.7,9.4,65.41666666666667
28.3,33.9,22.9,1002.9,70,6.9,1.9,3.5,54.666666666666664
25.8,31.8,22.8,1003.9,81,6.3,2.6,9.4,78.54166666666667
24.2,26.2,22.5,1002.4,86,5.8,5.2,5.4,49.125
24.8,28,21.9,1002,83,6.9,6.3,9.4,65.875
26.1,29.7,22.8,1001.3,76,6.9,8.1,20.6,72.41666666666667
26.5,31,20.4,1005.1,70,6.9,5,7.6,184.66666666666666
24.6,27.4,22.9,1004.8,81,6.9,5.2,7.6,113.33333333333333
24.6,28,21.9,1005,84,6.3,4.8,11.1,146.20833333333334
23.8,25.7,22.4,1004,89,6.3,5.2,7.6,112.29166666666667
24.1,26.2,21.3,1002.4,84,6.9,7,22.2,60.625
23.8,25.6,22.2,1003,89,4,4.6,9.4,71.0
24.1,25.6,22.3,1002,87,5.5,4.1,7.6,153.41666666666666
24.8,28.4,22.6,1000.6,85,4.8,4.1,5.4,134.95833333333334
23.9,25.2,22.3,999.9,91,4,3.5,61.1,81.125
24.5,27.4,21.9,1003.5,83,6.3,4.8,7.6,52.25
23.7,25.6,22.1,1003.5,88,5.5,3,7.6,160.375
23.9,25,21.9,1004.4,86,5.5,3.3,5.4,99.375
24.6,26,21.9,1005.6,78,6.9,5.2,14.8,31.458333333333332
24.1,25.8,21.9,1006,84,5.5,7.4,14.8,47.375
24.3,25.8,22.4,1005,83,6.6,7,74.1,38.166666666666664
24.8,27.4,22.4,1005,77,6.9,6.1,7.6,35.958333333333336
24.8,28.4,22.6,1005.8,81,6.3,6.3,11.1,25.083333333333332
24.1,26.4,22.7,1007.6,86,6.3,7.8,18.3,45.833333333333336
24.8,27.7,21.9,1007.9,81,7.4,6.9,9.4,33.708333333333336
23.9,26,21.6,1003.7,81,6.9,5.6,11.1,26.416666666666668
24.2,26.2,22.2,1003.6,82,6.3,6.3,9.4,30.666666666666668
24.5,26.8,21.9,1006.6,81,6.3,5.7,9.4,29.958333333333332
23.1,24,21.3,1003,92,4.8,4.1,5.4,23.875
23.8,25,21.8,1003.8,89,6.9,5.7,11.1,22.333333333333332
23.5,25.4,22.1,1003.8,87,6.9,4.6,9.4,25.083333333333332
23.7,26.6,21.8,1004.5,87,6.3,5.2,7.6,66.79166666666667
22.9,23.9,21.4,1005.3,90,6.9,5.2,7.6,64.875
22.4,23.8,21.4,1005.7,93,4,3.1,3.5,47.583333333333336
22.8,24.8,20.7,1006.9,91,5.5,2,3.5,33.5
22.8,24.2,21.2,1005.4,91,6.3,2.8,7.6,43.041666666666664
23.3,25.4,20.8,1005.4,86,6.3,2.2,5.4,38.416666666666664
23.8,26.8,21,1007.8,81,6.9,4.8,11.1,49.291666666666664
23.7,27.2,20.9,1008.4,82,6.9,3.9,9.4,19.541666666666668
22.9,26.2,20.9,1008.7,90,6.3,4.4,11.1,22.833333333333332
23.4,25.6,20.8,1008.7,84,6.3,4.1,7.6,24.291666666666668
22.9,25.2,20,1008.1,81,6.9,4.3,7.6,74.66666666666667
22.6,25.6,18.6,1008.4,77,6.9,3.9,7.6,41.875
23.8,28.5,17.5,1009.3,74,6.9,4.1,7.6,50.583333333333336
23.8,29.4,18,1009.1,75,6.3,3.7,7.6,58.125
24.4,30.6,17.9,1009.9,73,7.7,1.9,5.4,57.291666666666664
26.4,30.6,20.3,1009.8,69,8,3.1,11.1,38.25
24.2,31.8,21.4,1006.8,82,6.9,0.7,1.9,56.916666666666664
25.3,30.6,20.4,1005.3,80,6.3,3.7,7.6,54.625
24.8,29,21.7,1007.9,77,6.3,3.3,9.4,42.875
26.8,33,22.4,1007.8,73,6.9,0.4,1.9,43.333333333333336
27.5,33.4,21.7,1009.3,67,7.7,1.5,5.4,41.875
25.6,32.2,21.7,1010.1,75,6.3,2,5.4,44.416666666666664
25.8,33.2,21.6,1010,76,6.9,1.3,5.4,0.0
27.7,33,20.6,1009.2,72,6.3,1.3,3.5,0.0
27.4,33,19.2,1009,59,6.6,3,40.7,45.75
26.7,32,21.8,1009,63,6.3,1.9,3.5,70.70833333333333
27.3,33,20.6,1008.7,61,6.3,1.1,5.4,51.791666666666664
26.7,32.8,20.5,1010.9,57,6.3,0.7,3.5,0.0
26.2,33.2,19.8,1011.6,54,6.9,0.9,3.5,11.583333333333334
27,33.2,18.6,1011.7,51,6.6,1.1,3.5,13.0
26.2,31.6,20.7,1011.6,67,6.6,1.1,3.5,156.25
26.4,32.2,19.9,1012.6,66,6.3,0.7,3.5,156.0
26.9,32.8,20.2,1013,61,6.3,0.2,1.9,151.79166666666666
25.9,31.8,18.4,1013.3,60,6.3,2,9.4,252.625
24.4,33.8,17.6,1014.4,51,6.6,1.3,5.4,119.41666666666667
24.8,33.1,15.9,1014.3,52,6.9,1.9,5.4,126.0
22.9,30.4,13.8,1012,48,4,1.5,7.6,232.33333333333334
24.1,30.6,14.4,1011.4,50,5.5,1.7,7.6,215.54166666666666
24.9,31,15.6,1010.9,56,6.3,0.9,5.4,239.41666666666666
26.4,31.3,19.1,1011.2,66,6.3,2.8,5.4,196.54166666666666
25,32.5,18.2,1012.8,61,6.3,0.9,3.5,232.54166666666666
25.3,33.6,16.2,1011.7,59,5.5,0.7,5.4,185.5
25.1,33.4,17.4,1011.1,60,4.8,0.2,1.9,282.1666666666667
22.8,31.8,12.9,1010.9,48,6.3,0.2,1.9,257.6666666666667
23,31.8,13.7,1010.8,54,6.3,0.2,1.9,166.875
21.9,31,13.7,1013,53,6.3,1.9,5.4,135.16666666666666
21.9,29,14.9,1016,62,6.3,0.7,5.4,135.58333333333334
21.6,30.2,13.6,1013.5,60,6.3,0.9,3.5,152.04166666666666
20.8,30,12.3,1014.2,58,6.3,1.1,5.4,141.41666666666666
18.4,26.8,12.1,1014.1,68,5.8,0.2,1.9,46.708333333333336
19.9,28.6,12.1,1012.2,60,6.3,0.2,1.9,91.75
20.6,28.6,12.8,1012.9,61,6.3,0.7,3.5,99.91666666666667
23.9,31.2,16.6,1011.4,64,6.3,0.9,3.5,119.70833333333333
23.2,31.8,16.1,1012.4,64,5.5,0.9,3.5,110.875
22.7,32.4,15,1011.5,59,6.9,1.3,5.4,200.33333333333334
19.7,28.2,11.6,1015.2,58,6.9,0.7,3.5,203.58333333333334
20.5,25.4,12.4,1015.9,62,6.3,2,5.4,25.083333333333332
20.8,26.6,15,1016,58,6.3,2.4,7.6,57.083333333333336
17,25,9.3,1016.6,62,6.3,0.9,3.5,349.2916666666667
18.7,26.8,8.8,1015.5,64,6.3,0.9,3.5,188.04166666666666
19.9,28.6,11.2,1014.2,63,5.5,0.4,1.9,310.25
23.1,31.2,15.9,1012.8,63,6.3,1.3,5.4,204.375
21,29.8,13.9,1013.2,58,6.3,2,7.6,223.25
17.1,26,10,1015.2,49,6.3,0.6,3.5,248.95833333333334
16.4,26.4,6.9,1019.3,51,6.9,0.9,5.4
